"force","duck.id","screwsize","bone","screwtype","side","location","sex","locationn","bone.id"
545.03,"s19",1.5,"tibiotarsus","locking","L","L2","F",2,"s19Lt"
283.55,"s19",1.5,"tibiotarsus","locking","L","L3","F",3,"s19Lt"
290.1,"s19",1.5,"tibiotarsus","locking","L","L4","F",4,"s19Lt"
154.44,"s19",1.5,"tibiotarsus","locking","L","L5","F",5,"s19Lt"
173.88,"s4",1.5,"tibiotarsus","locking","L","L1","M",1,"s4Lt"
261.64,"s4",1.5,"tibiotarsus","locking","L","L2","M",2,"s4Lt"
304.1,"s4",1.5,"tibiotarsus","locking","L","L3","M",3,"s4Lt"
331.24,"s4",1.5,"tibiotarsus","locking","L","L4","M",4,"s4Lt"
161.73,"s4",1.5,"tibiotarsus","locking","L","L5","M",5,"s4Lt"
188.86,"s4",1.5,"tibiotarsus","locking","R","L1","M",1,"s4Rt"
395.16,"s4",1.5,"tibiotarsus","locking","R","L2","M",2,"s4Rt"
303.31,"s4",1.5,"tibiotarsus","locking","R","L3","M",3,"s4Rt"
305.26,"s4",1.5,"tibiotarsus","locking","R","L4","M",4,"s4Rt"
185.92,"s4",1.5,"tibiotarsus","locking","R","L5","M",5,"s4Rt"
168.46,"s6",1.5,"tibiotarsus","locking","L","L1","F",1,"s6Lt"
375.14,"s6",1.5,"tibiotarsus","locking","L","L2","F",2,"s6Lt"
246.46,"s6",1.5,"tibiotarsus","locking","L","L3","F",3,"s6Lt"
141.39,"s6",1.5,"tibiotarsus","locking","L","L4","F",4,"s6Lt"
69.54,"s6",1.5,"tibiotarsus","locking","L","L5","F",5,"s6Lt"
115.9,"s6",1.5,"tibiotarsus","locking","R","L1","F",1,"s6Rt"
483.14,"s6",1.5,"tibiotarsus","locking","R","L2","F",2,"s6Rt"
113.18,"s6",1.5,"tibiotarsus","locking","R","L3","F",3,"s6Rt"
178.18,"s6",1.5,"tibiotarsus","locking","R","L4","F",4,"s6Rt"
96.93,"s6",1.5,"tibiotarsus","locking","R","L5","F",5,"s6Rt"
172.86,"s9",1.5,"tibiotarsus","locking","L","L1","F",1,"s9Lt"
405.08,"s9",1.5,"tibiotarsus","locking","L","L2","F",2,"s9Lt"
273.3,"s9",1.5,"tibiotarsus","locking","L","L3","F",3,"s9Lt"
177.33,"s9",1.5,"tibiotarsus","locking","L","L4","F",4,"s9Lt"
146.63,"s9",1.5,"tibiotarsus","locking","L","L5","F",5,"s9Lt"
208.62,"s9",1.5,"tibiotarsus","locking","R","L1","F",1,"s9Rt"
221.69,"s9",1.5,"tibiotarsus","locking","R","L2","F",2,"s9Rt"
290.72,"s9",1.5,"tibiotarsus","locking","R","L3","F",3,"s9Rt"
268.81,"s9",1.5,"tibiotarsus","locking","R","L4","F",4,"s9Rt"
188.2,"s9",1.5,"tibiotarsus","locking","R","L5","F",5,"s9Rt"
